game no.,winner name,KO counts,Damage percentages
1008,sivad,Thomato:3 LONG:5 curt:15 BEEF:7 sivad:13 raki:11 rupa:17,Thomato:1634 LONG:653 curt:266 BEEF:1026 sivad:626 raki:1720 rupa:1381
1009,LONG,postmabone:7 rupa:5 raki:12 curt:3 Thomato:0,postmabone:19 rupa:452 raki:177 curt:0 Thomato:74
1010,BEEF,sivad:12 Thomato:16 curt:21 raki:1 LONG:8 postmabone:10 rupa:13 BEEF:17,sivad:1848 Thomato:982 curt:1026 raki:0 LONG:1494 postmabone:1448 rupa:535 BEEF:1273
1011,sivad,LONG:7 curt:8 Thomato:12 raki:14 rupa:17 BEEF:0 sivad:12 postmabone:21,LONG:2277 curt:1639 Thomato:1103 raki:442 rupa:1077 BEEF:397 sivad:1928 postmabone:210
1012,curt,Thomato:11 BEEF:5 postmabone:6 rupa:4 curt:9 LONG:15,Thomato:675 BEEF:0 postmabone:1480 rupa:392 curt:939 LONG:82
1013,raki,raki:6 BEEF:5 sivad:3,raki:627 BEEF:352 sivad:189
1014,raki,LONG:3 BEEF:6 raki:6 postmabone:8 sivad:1 curt:9,LONG:1262 BEEF:755 raki:560 postmabone:1356 sivad:350 curt:1376
1015,postmabone,Thomato:6 rupa:6 BEEF:5,Thomato:287 rupa:0 BEEF:0
1016,curt,postmabone:0 curt:6 LONG:4,postmabone:315 curt:22 LONG:77
1017,raki,rupa:3 BEEF:6 curt:8 Thomato:7,rupa:606 BEEF:194 curt:294 Thomato:1080
1018,LONG,curt:4 BEEF:15 rupa:7 LONG:4 Thomato:4 raki:12,curt:801 BEEF:868 rupa:1498 LONG:895 Thomato:1291 raki:756
1019,rupa,LONG:10 postmabone:11 sivad:6 raki:7 curt:18 BEEF:12 Thomato:4,LONG:659 postmabone:264 sivad:1612 raki:1182 curt:2266 BEEF:730 Thomato:1393
1020,LONG,raki:3 LONG:4 BEEF:2 rupa:3,raki:604 LONG:557 BEEF:1197 rupa:26
1021,raki,BEEF:5 Thomato:3 postmabone:4,BEEF:60 Thomato:203 postmabone:538
1022,rupa,curt:1 sivad:1,curt:304 sivad:119
1023,Thomato,curt:7 LONG:4 postmabone:5 Thomato:9 raki:15 sivad:21 BEEF:14 rupa:6,curt:1304 LONG:43 postmabone:1360 Thomato:565 raki:656 sivad:2395 BEEF:2294 rupa:646
1024,LONG,LONG:6 curt:2 BEEF:1,LONG:349 curt:147 BEEF:0
1025,rupa,rupa:0 postmabone:0,rupa:0 postmabone:143
1026,Thomato,rupa:3 postmabone:3 curt:8 raki:4,rupa:605 postmabone:254 curt:0 raki:152
1027,raki,BEEF:17 LONG:4 curt:0 sivad:17 Thomato:18 rupa:13 raki:9 postmabone:9,BEEF:720 LONG:1070 curt:714 sivad:1112 Thomato:0 rupa:1172 raki:133 postmabone:0
1028,rupa,LONG:11 sivad:12 BEEF:8 raki:5 rupa:5,LONG:590 sivad:918 BEEF:270 raki:904 rupa:110
1029,BEEF,rupa:2 LONG:2,rupa:35 LONG:250
1030,curt,Thomato:15 BEEF:6 sivad:7 curt:4 postmabone:7 rupa:8,Thomato:1795 BEEF:1550 sivad:410 curt:782 postmabone:723 rupa:1032
1031,LONG,rupa:5 sivad:15 postmabone:11 BEEF:3 raki:13 Thomato:9 LONG:3,rupa:0 sivad:930 postmabone:1200 BEEF:1624 raki:414 Thomato:2326 LONG:1049
1032,rupa,Thomato:1 BEEF:2,Thomato:0 BEEF:0
1033,curt,raki:3 BEEF:4 postmabone:3,raki:117 BEEF:619 postmabone:388
1034,BEEF,Thomato:12 rupa:8 BEEF:2 raki:2 curt:8,Thomato:848 rupa:972 BEEF:174 raki:1024 curt:195
1035,LONG,curt:0 sivad:3,curt:0 sivad:39
1036,Thomato,postmabone:8 Thomato:6 sivad:3 BEEF:9 raki:2,postmabone:518 Thomato:481 sivad:1113 BEEF:733 raki:84
1037,curt,curt:7 rupa:1 sivad:5 BEEF:5 raki:11 postmabone:15,curt:1476 rupa:220 sivad:957 BEEF:1207 raki:1405 postmabone:843
1038,Thomato,BEEF:8 rupa:11 LONG:17 sivad:6 raki:8 Thomato:4 curt:5 postmabone:8,BEEF:881 rupa:955 LONG:1481 sivad:897 raki:0 Thomato:922 curt:1398 postmabone:707
1039,raki,curt:12 postmabone:6 BEEF:0 raki:6 Thomato:3,curt:669 postmabone:795 BEEF:0 raki:540 Thomato:694
1040,BEEF,curt:16 sivad:7 raki:12 postmabone:9 Thomato:7 BEEF:11 LONG:12,curt:2399 sivad:1977 raki:2037 postmabone:800 Thomato:1245 BEEF:1405 LONG:1238
1041,postmabone,BEEF:15 postmabone:10 rupa:11 sivad:3 curt:15 Thomato:8,BEEF:850 postmabone:300 rupa:899 sivad:300 curt:1027 Thomato:1212
1042,rupa,raki:9 curt:9 LONG:6 postmabone:0,raki:424 curt:631 LONG:592 postmabone:371
1043,sivad,LONG:1 raki:2,LONG:253 raki:171
1044,curt,BEEF:8 curt:21 sivad:14 Thomato:0 raki:5 LONG:14 postmabone:16 rupa:10,BEEF:2277 curt:0 sivad:957 Thomato:841 raki:2202 LONG:409 postmabone:824 rupa:1828
1045,BEEF,curt:5 Thomato:9 rupa:10 BEEF:12 postmabone:5,curt:247 Thomato:871 rupa:662 BEEF:1014 postmabone:665
1046,rupa,BEEF:7 postmabone:2 Thomato:14 curt:12 LONG:13 raki:8 rupa:9,BEEF:1360 postmabone:1594 Thomato:147 curt:382 LONG:794 raki:1690 rupa:619
1047,sivad,postmabone:5 LONG:2 curt:9 rupa:1,postmabone:522 LONG:281 curt:1028 rupa:118
1048,LONG,curt:15 Thomato:6 rupa:13 raki:7 postmabone:7 sivad:13 LONG:7 BEEF:21,curt:779 Thomato:2121 rupa:1092 raki:506 postmabone:1324 sivad:1351 LONG:1422 BEEF:1377
1049,rupa,sivad:5 curt:11 Thomato:18 raki:15 LONG:5 postmabone:16 rupa:3,sivad:2032 curt:1776 Thomato:1626 raki:573 LONG:1084 postmabone:1193 rupa:622
1050,rupa,LONG:9 raki:0 sivad:9 curt:4,LONG:727 raki:214 sivad:550 curt:0
1051,raki,curt:0 sivad:3 BEEF:0,curt:310 sivad:251 BEEF:546
1052,BEEF,postmabone:1 raki:5 rupa:0 curt:12 LONG:2,postmabone:467 raki:583 rupa:436 curt:390 LONG:279
1053,rupa,BEEF:1 LONG:2 rupa:4,BEEF:44 LONG:351 rupa:186
1054,Thomato,postmabone:7 rupa:12 LONG:11 curt:7 sivad:5,postmabone:662 rupa:1017 LONG:1004 curt:222 sivad:1712
1055,sivad,curt:7 BEEF:3 postmabone:8 sivad:4,curt:152 BEEF:717 postmabone:152 sivad:150
1056,curt,raki:0 LONG:8 postmabone:2 curt:8 sivad:7 rupa:7 Thomato:0,raki:828 LONG:481 postmabone:264 curt:222 sivad:1300 rupa:1114 Thomato:0
1057,curt,sivad:4 BEEF:16 LONG:3 rupa:11 curt:2 Thomato:4 postmabone:0 raki:0,sivad:1379 BEEF:94 LONG:2479 rupa:1684 curt:801 Thomato:1751 postmabone:1160 raki:1073
1058,sivad,raki:7 postmabone:7 sivad:5 Thomato:7 BEEF:15 rupa:5,raki:135 postmabone:747 sivad:592 Thomato:169 BEEF:598 rupa:811
1059,BEEF,Thomato:5 raki:5 curt:14 BEEF:18 LONG:1 rupa:12 postmabone:14,Thomato:1177 raki:2410 curt:764 BEEF:711 LONG:1402 rupa:1453 postmabone:128
1060,postmabone,rupa:0 BEEF:1,rupa:134 BEEF:86
1061,LONG,BEEF:11 raki:2 postmabone:7 LONG:12 curt:8,BEEF:916 raki:384 postmabone:1057 LONG:416 curt:0
1062,curt,curt:2 postmabone:3,curt:260 postmabone:0
1063,postmabone,raki:2 rupa:17 curt:14 Thomato:9 LONG:3 postmabone:18 sivad:10 BEEF:19,raki:1724 rupa:1802 curt:1752 Thomato:837 LONG:1126 postmabone:1221 sivad:1834 BEEF:2362
1064,BEEF,rupa:7 curt:0 LONG:0 BEEF:3 sivad:0 raki:13,rupa:698 curt:449 LONG:166 BEEF:847 sivad:383 raki:765
1065,BEEF,postmabone:8 BEEF:4 curt:10 LONG:10 rupa:9,postmabone:0 BEEF:1166 curt:595 LONG:775 rupa:0
1066,BEEF,postmabone:11 raki:3 LONG:9 rupa:9 curt:3,postmabone:981 raki:1268 LONG:915 rupa:322 curt:1119
1067,LONG,LONG:5 curt:5 postmabone:9 Thomato:4,LONG:725 curt:819 postmabone:553 Thomato:752
1068,sivad,postmabone:9 Thomato:3 BEEF:6 curt:2,postmabone:284 Thomato:0 BEEF:190 curt:57
1069,LONG,rupa:1 postmabone:3,rupa:107 postmabone:250
1070,BEEF,Thomato:0 curt:9 LONG:8 postmabone:0 raki:6 rupa:11,Thomato:872 curt:608 LONG:1021 postmabone:1188 raki:506 rupa:60
1071,postmabone,Thomato:5 sivad:5 curt:2,Thomato:715 sivad:647 curt:0
1072,LONG,postmabone:16 raki:0 curt:11 rupa:9 sivad:10 BEEF:8 LONG:0,postmabone:404 raki:1802 curt:1609 rupa:1525 sivad:1187 BEEF:1908 LONG:25
1073,LONG,postmabone:4 BEEF:1 rupa:4,postmabone:322 BEEF:63 rupa:284
1074,postmabone,sivad:4 curt:0 BEEF:2,sivad:484 curt:107 BEEF:474
1075,sivad,sivad:6 Thomato:4 rupa:8 BEEF:4 raki:6 curt:9,sivad:451 Thomato:1203 rupa:1405 BEEF:0 raki:852 curt:1205
1076,rupa,postmabone:18 BEEF:6 LONG:2 Thomato:17 sivad:10 curt:0 raki:16 rupa:2,postmabone:1432 BEEF:276 LONG:543 Thomato:1499 sivad:651 curt:1223 raki:321 rupa:729
1077,LONG,raki:5 Thomato:6 rupa:0,raki:455 Thomato:194 rupa:277
1078,LONG,LONG:2 Thomato:5 curt:0,LONG:0 Thomato:290 curt:211
1079,LONG,rupa:3 LONG:1 BEEF:5 sivad:0 curt:9,rupa:0 LONG:0 BEEF:606 sivad:1111 curt:744
1080,BEEF,Thomato:3 curt:0 sivad:3,Thomato:255 curt:0 sivad:164
1081,raki,sivad:3 curt:5 rupa:9 postmabone:2 LONG:3,sivad:442 curt:602 rupa:1335 postmabone:179 LONG:1228
1082,sivad,rupa:0 Thomato:3 LONG:4,rupa:139 Thomato:101 LONG:382
1083,raki,LONG:0 postmabone:7 raki:3 Thomato:4 BEEF:8,LONG:89 postmabone:1057 raki:429 Thomato:1332 BEEF:456
1084,LONG,LONG:1 rupa:2 BEEF:3,LONG:229 rupa:5 BEEF:585
1085,LONG,Thomato:11 LONG:0 sivad:16 rupa:4 BEEF:11 raki:2 postmabone:15 curt:0,Thomato:2192 LONG:1882 sivad:158 rupa:2291 BEEF:1539 raki:1244 postmabone:2676 curt:2763
1086,Thomato,LONG:1 postmabone:1,LONG:232 postmabone:21
1087,curt,sivad:0 BEEF:2,sivad:118 BEEF:235
1088,curt,curt:2 Thomato:16 rupa:8 sivad:9 BEEF:10 raki:2 postmabone:10 LONG:0,curt:1584 Thomato:39 rupa:1474 sivad:1990 BEEF:1119 raki:429 postmabone:1110 LONG:106
1089,curt,raki:17 curt:15 sivad:18 postmabone:1 LONG:8 rupa:10 Thomato:9 BEEF:11,raki:1116 curt:0 sivad:1966 postmabone:0 LONG:2841 rupa:335 Thomato:1606 BEEF:1516
1090,Thomato,raki:1 Thomato:7 sivad:12 postmabone:4 LONG:6 rupa:6,raki:1095 Thomato:626 sivad:562 postmabone:1697 LONG:0 rupa:988
1091,postmabone,sivad:5 postmabone:2 rupa:6 BEEF:9 LONG:2 curt:15,sivad:1040 postmabone:153 rupa:0 BEEF:821 LONG:641 curt:567
1092,sivad,LONG:9 curt:5 BEEF:3 rupa:7 Thomato:2 sivad:3,LONG:1129 curt:1339 BEEF:862 rupa:0 Thomato:0 sivad:462
1093,Thomato,raki:4 postmabone:12 curt:21 Thomato:0 sivad:14 rupa:11 BEEF:0 LONG:1,raki:536 postmabone:2046 curt:1368 Thomato:1133 sivad:1814 rupa:0 BEEF:1618 LONG:1934
1094,postmabone,raki:0 LONG:0 BEEF:4 sivad:6 curt:1,raki:966 LONG:810 BEEF:409 sivad:535 curt:771
1095,postmabone,curt:1 Thomato:2,curt:58 Thomato:116
1096,LONG,curt:2 LONG:0 postmabone:5,curt:780 LONG:308 postmabone:543
1097,Thomato,raki:6 sivad:1 rupa:2 LONG:4,raki:412 sivad:194 rupa:442 LONG:0
1098,raki,curt:3 rupa:21 sivad:10 BEEF:16 LONG:0 Thomato:21 raki:2 postmabone:6,curt:802 rupa:0 sivad:614 BEEF:1724 LONG:1114 Thomato:1182 raki:632 postmabone:561
1099,Thomato,BEEF:2 rupa:2 LONG:2 Thomato:3,BEEF:661 rupa:849 LONG:850 Thomato:568
1100,curt,sivad:1 curt:1 LONG:3,sivad:390 curt:316 LONG:629
1101,rupa,sivad:0 rupa:1,sivad:185 rupa:181
1102,LONG,raki:7 LONG:10 postmabone:12 BEEF:12 curt:11 sivad:15,raki:848 LONG:1141 postmabone:599 BEEF:596 curt:1483 sivad:1294
1103,LONG,Thomato:3 BEEF:5 postmabone:3,Thomato:175 BEEF:0 postmabone:660
1104,Thomato,postmabone:4 BEEF:9 raki:5 Thomato:7,postmabone:36 BEEF:629 raki:895 Thomato:759
1105,Thomato,BEEF:10 sivad:8 raki:9 Thomato:5 rupa:4 LONG:7 postmabone:6,BEEF:1011 sivad:2044 raki:1421 Thomato:688 rupa:411 LONG:111 postmabone:1240
1106,sivad,raki:2 curt:2,raki:262 curt:294
1107,raki,Thomato:11 BEEF:5 raki:15 rupa:5 sivad:9 postmabone:11,Thomato:213 BEEF:1252 raki:902 rupa:1129 sivad:661 postmabone:846
1108,sivad,rupa:10 postmabone:5 raki:9 BEEF:4 Thomato:6 LONG:7,rupa:505 postmabone:980 raki:895 BEEF:518 Thomato:561 LONG:911
1109,sivad,BEEF:6 Thomato:6 curt:0,BEEF:138 Thomato:291 curt:65
1110,rupa,raki:9 rupa:4 curt:4 sivad:1,raki:67 rupa:504 curt:541 sivad:273
1111,LONG,sivad:5 rupa:5 BEEF:0 Thomato:21 LONG:7 raki:12 postmabone:17 curt:0,sivad:834 rupa:1001 BEEF:809 Thomato:1328 LONG:743 raki:1128 postmabone:583 curt:1767
1112,LONG,Thomato:6 rupa:11 curt:0 raki:1 postmabone:2,Thomato:741 rupa:1342 curt:73 raki:801 postmabone:268
1113,curt,curt:11 Thomato:6 LONG:0 postmabone:11 raki:8,curt:979 Thomato:1038 LONG:591 postmabone:911 raki:648
1114,sivad,BEEF:13 curt:15 sivad:5 LONG:5 postmabone:2 Thomato:11,BEEF:533 curt:1057 sivad:0 LONG:580 postmabone:712 Thomato:425
1115,postmabone,Thomato:8 sivad:8 curt:8 LONG:8 BEEF:7,Thomato:936 sivad:0 curt:1119 LONG:107 BEEF:352
1116,postmabone,Thomato:6 LONG:3 BEEF:1 rupa:0 sivad:0 raki:8 postmabone:5,Thomato:981 LONG:577 BEEF:1623 rupa:1404 sivad:316 raki:768 postmabone:960
1117,LONG,LONG:3 BEEF:5 sivad:0 rupa:8,LONG:627 BEEF:421 sivad:763 rupa:167
1118,LONG,sivad:5 BEEF:6 curt:3,sivad:478 BEEF:260 curt:348
1119,sivad,Thomato:2 curt:5 raki:4,Thomato:282 curt:408 raki:571
1120,Thomato,curt:11 BEEF:7 postmabone:5 raki:6 sivad:13 Thomato:9,curt:1108 BEEF:765 postmabone:0 raki:67 sivad:855 Thomato:602
1121,LONG,curt:9 rupa:1 BEEF:5 Thomato:12 raki:2 sivad:17 LONG:9 postmabone:17,curt:2331 rupa:1393 BEEF:0 Thomato:1547 raki:485 sivad:947 LONG:1170 postmabone:1100
1122,BEEF,sivad:3 raki:3,sivad:202 raki:248
1123,sivad,LONG:9 rupa:5 sivad:13 BEEF:0 postmabone:2 raki:7 curt:11 Thomato:10,LONG:1650 rupa:554 sivad:711 BEEF:1440 postmabone:1701 raki:0 curt:1633 Thomato:938
1124,postmabone,curt:14 raki:7 BEEF:18 LONG:4 sivad:15 rupa:18 Thomato:13,curt:1018 raki:185 BEEF:949 LONG:798 sivad:1221 rupa:607 Thomato:1731
1125,LONG,curt:1 Thomato:3,curt:126 Thomato:87
1126,sivad,Thomato:10 postmabone:2 raki:4 LONG:9 sivad:4 rupa:9 BEEF:15,Thomato:1584 postmabone:1155 raki:401 LONG:1020 sivad:857 rupa:1121 BEEF:2112
1127,Thomato,curt:5 raki:4 Thomato:4 rupa:0,curt:163 raki:475 Thomato:1179 rupa:930
1128,curt,BEEF:3 sivad:2 LONG:2,BEEF:0 sivad:561 LONG:369
1129,sivad,curt:1 sivad:0,curt:180 sivad:59
1130,BEEF,Thomato:2 sivad:6 raki:21 rupa:17 BEEF:18 curt:0 LONG:10 postmabone:5,Thomato:774 sivad:853 raki:2340 rupa:923 BEEF:2006 curt:691 LONG:1178 postmabone:361
1131,raki,raki:15 LONG:18 BEEF:4 rupa:1 curt:8 Thomato:8 postmabone:21 sivad:0,raki:1145 LONG:810 BEEF:0 rupa:1235 curt:1333 Thomato:766 postmabone:1933 sivad:1645
1132,postmabone,raki:2 Thomato:2 curt:6 postmabone:6,raki:167 Thomato:846 curt:102 postmabone:455
1133,sivad,curt:8 sivad:0 raki:0 BEEF:2,curt:0 sivad:616 raki:651 BEEF:12
1134,rupa,LONG:5 postmabone:6 rupa:16 BEEF:10 raki:13 curt:18 Thomato:7,LONG:648 postmabone:398 rupa:640 BEEF:1738 raki:287 curt:1432 Thomato:1174
1135,rupa,Thomato:3 curt:1 postmabone:0 rupa:19 sivad:21 LONG:16 BEEF:19 raki:10,Thomato:2224 curt:576 postmabone:413 rupa:1512 sivad:1507 LONG:1914 BEEF:1332 raki:1684
1136,rupa,BEEF:0 postmabone:0,BEEF:155 postmabone:15
1137,postmabone,rupa:15 Thomato:19 sivad:15 LONG:11 BEEF:6 raki:6 curt:21 postmabone:6,rupa:1488 Thomato:1283 sivad:1395 LONG:1135 BEEF:2066 raki:1766 curt:2277 postmabone:1855
1138,rupa,Thomato:0 postmabone:2 sivad:9 rupa:6 raki:15 BEEF:15,Thomato:1189 postmabone:1458 sivad:1031 rupa:684 raki:1078 BEEF:746
1139,postmabone,rupa:9 raki:8 Thomato:7 LONG:4 BEEF:0,rupa:433 raki:1357 Thomato:752 LONG:455 BEEF:807
1140,sivad,BEEF:0 LONG:21 raki:11 Thomato:10 curt:6 rupa:2 postmabone:14 sivad:13,BEEF:1678 LONG:1446 raki:1709 Thomato:1189 curt:751 rupa:693 postmabone:2572 sivad:1209
1141,rupa,postmabone:13 LONG:10 BEEF:14 sivad:0 curt:3 raki:8 Thomato:5,postmabone:241 LONG:502 BEEF:1503 sivad:0 curt:699 raki:1441 Thomato:1480
1142,Thomato,LONG:3 raki:1,LONG:131 raki:0
1143,Thomato,Thomato:7 rupa:8 sivad:16 LONG:13 postmabone:10 raki:20 curt:5 BEEF:9,Thomato:1215 rupa:1779 sivad:1686 LONG:599 postmabone:0 raki:1525 curt:633 BEEF:1444
1144,LONG,LONG:1 BEEF:5 rupa:6,LONG:155 BEEF:575 rupa:6
1145,raki,BEEF:8 sivad:15 raki:7 curt:12 Thomato:7 LONG:8,BEEF:1125 sivad:0 raki:1300 curt:55 Thomato:1405 LONG:962
1146,rupa,rupa:0 sivad:5 postmabone:5 LONG:4 BEEF:7,rupa:810 sivad:286 postmabone:883 LONG:409 BEEF:1568
1147,postmabone,BEEF:5 sivad:8 rupa:2 Thomato:3,BEEF:679 sivad:277 rupa:238 Thomato:446
1148,rupa,BEEF:3 sivad:3 rupa:8 LONG:0 Thomato:12,BEEF:640 sivad:263 rupa:970 LONG:366 Thomato:383
1149,rupa,rupa:3 sivad:0 LONG:5 postmabone:9,rupa:234 sivad:673 LONG:554 postmabone:83
1150,sivad,rupa:3 postmabone:1,rupa:279 postmabone:253
1151,sivad,sivad:21 curt:14 BEEF:15 Thomato:12 raki:7 postmabone:12 rupa:12 LONG:19,sivad:1200 curt:977 BEEF:1179 Thomato:1392 raki:320 postmabone:1339 rupa:600 LONG:47
1152,rupa,BEEF:3 postmabone:18 rupa:18 LONG:21 sivad:10 raki:16 curt:5 Thomato:4,BEEF:709 postmabone:2098 rupa:1911 LONG:531 sivad:209 raki:1470 curt:2099 Thomato:329
1153,BEEF,Thomato:11 postmabone:8 BEEF:18 raki:8 LONG:18 rupa:6 sivad:9,Thomato:197 postmabone:2138 BEEF:0 raki:843 LONG:1353 rupa:1219 sivad:789
1154,postmabone,sivad:6 Thomato:4 postmabone:3,sivad:256 Thomato:190 postmabone:390
1155,postmabone,LONG:1 raki:3,LONG:84 raki:176
1156,curt,rupa:2 LONG:1,rupa:58 LONG:175
1157,postmabone,rupa:15 Thomato:0 sivad:10 LONG:5 postmabone:14 BEEF:21 curt:14 raki:11,rupa:1349 Thomato:2454 sivad:773 LONG:501 postmabone:1390 BEEF:0 curt:246 raki:483
1158,rupa,curt:1 postmabone:1,curt:173 postmabone:91
1159,Thomato,postmabone:13 raki:15 Thomato:0 sivad:21 curt:5 BEEF:4 rupa:15 LONG:10,postmabone:1160 raki:1223 Thomato:1675 sivad:732 curt:1031 BEEF:1025 rupa:889 LONG:209
1160,sivad,curt:2 Thomato:6 raki:5,curt:327 Thomato:711 raki:242
1161,curt,Thomato:5 rupa:5 BEEF:5 LONG:7,Thomato:340 rupa:0 BEEF:526 LONG:916
1162,BEEF,Thomato:1 LONG:15 rupa:15 sivad:9 curt:10 postmabone:2,Thomato:152 LONG:717 rupa:636 sivad:1105 curt:1501 postmabone:1268
1163,raki,BEEF:10 LONG:6 sivad:14 rupa:5 postmabone:0 curt:14,BEEF:206 LONG:1247 sivad:1615 rupa:845 postmabone:808 curt:851
1164,postmabone,Thomato:1 raki:6 LONG:1,Thomato:210 raki:255 LONG:330
1165,rupa,postmabone:9 Thomato:4 rupa:8 curt:1 raki:0,postmabone:835 Thomato:784 rupa:1233 curt:824 raki:1081
1166,LONG,BEEF:15 curt:6 postmabone:6 Thomato:2 LONG:9 raki:20 rupa:9 sivad:12,BEEF:71 curt:1050 postmabone:1170 Thomato:628 LONG:1746 raki:963 rupa:520 sivad:1072
1167,postmabone,raki:2 curt:2,raki:190 curt:73
1168,raki,rupa:3 BEEF:6 Thomato:5 curt:2,rupa:28 BEEF:749 Thomato:620 curt:0
1169,raki,LONG:13 BEEF:9 postmabone:10 curt:14 rupa:8 Thomato:6,LONG:1427 BEEF:1599 postmabone:1170 curt:654 rupa:898 Thomato:0
1170,raki,raki:2 sivad:3,raki:121 sivad:277
1171,Thomato,postmabone:3 curt:14 BEEF:2 LONG:9 rupa:8 raki:10 sivad:4 Thomato:12,postmabone:784 curt:1320 BEEF:1651 LONG:1459 rupa:502 raki:0 sivad:1154 Thomato:165
1172,LONG,rupa:6 BEEF:8 curt:8 Thomato:4 LONG:5,rupa:493 BEEF:500 curt:724 Thomato:1157 LONG:167
1173,BEEF,rupa:3 LONG:3 postmabone:0,rupa:229 LONG:188 postmabone:113
1174,LONG,rupa:8 Thomato:5 curt:0 postmabone:7 sivad:8,rupa:808 Thomato:1389 curt:243 postmabone:213 sivad:1080
1175,postmabone,BEEF:7 sivad:11 Thomato:0 curt:12 LONG:5 postmabone:11 rupa:9 raki:21,BEEF:1890 sivad:2145 Thomato:1492 curt:0 LONG:1217 postmabone:142 rupa:1712 raki:1405
1176,sivad,rupa:7 sivad:18 Thomato:5 LONG:14 BEEF:14 curt:17 postmabone:10 raki:11,rupa:1059 sivad:775 Thomato:4 LONG:1530 BEEF:1076 curt:2547 postmabone:1128 raki:1425
1177,sivad,raki:2 Thomato:2,raki:250 Thomato:138
1178,LONG,rupa:0 sivad:2 curt:0 BEEF:9 postmabone:14 raki:4 LONG:20 Thomato:21,rupa:1291 sivad:855 curt:0 BEEF:1027 postmabone:840 raki:1115 LONG:736 Thomato:841
1179,BEEF,LONG:9 sivad:10 BEEF:6 Thomato:3 postmabone:8,LONG:399 sivad:397 BEEF:948 Thomato:931 postmabone:692
1180,sivad,Thomato:4 postmabone:3 BEEF:6,Thomato:394 postmabone:296 BEEF:346
1181,Thomato,BEEF:8 postmabone:7 LONG:6 raki:8 Thomato:6,BEEF:678 postmabone:689 LONG:0 raki:585 Thomato:970
1182,raki,curt:14 BEEF:3 rupa:0 postmabone:7 sivad:19 Thomato:10 LONG:6 raki:0,curt:962 BEEF:1697 rupa:1081 postmabone:1518 sivad:739 Thomato:2296 LONG:1644 raki:980
1183,Thomato,BEEF:1 sivad:3,BEEF:152 sivad:226
1184,LONG,postmabone:0 sivad:0,postmabone:142 sivad:29
1185,rupa,postmabone:3 rupa:1 LONG:8 sivad:12 raki:15 Thomato:21 curt:5 BEEF:14,postmabone:1401 rupa:2643 LONG:1574 sivad:1777 raki:0 Thomato:604 curt:518 BEEF:497
1186,postmabone,Thomato:10 BEEF:10 curt:17 LONG:11 sivad:10 raki:15 rupa:8 postmabone:11,Thomato:381 BEEF:1019 curt:1277 LONG:1436 sivad:464 raki:902 rupa:799 postmabone:1309
1187,postmabone,Thomato:10 curt:8 sivad:3 postmabone:7 LONG:0,Thomato:654 curt:330 sivad:706 postmabone:1485 LONG:674
1188,sivad,raki:9 LONG:5 curt:7 postmabone:6 sivad:9,raki:991 LONG:564 curt:496 postmabone:103 sivad:992
1189,rupa,postmabone:1 sivad:0 LONG:14 curt:0 BEEF:10 rupa:12,postmabone:906 sivad:1248 LONG:1562 curt:1076 BEEF:0 rupa:673
1190,BEEF,LONG:1 BEEF:11 Thomato:7 curt:11 raki:0 rupa:10,LONG:800 BEEF:754 Thomato:1549 curt:613 raki:1727 rupa:533
1191,rupa,postmabone:3 LONG:2 Thomato:0,postmabone:306 LONG:449 Thomato:501
1192,BEEF,BEEF:5 postmabone:15 curt:14 Thomato:0 rupa:6 sivad:8,BEEF:1200 postmabone:976 curt:930 Thomato:1900 rupa:0 sivad:1169
1193,curt,rupa:8 curt:6 sivad:9 BEEF:3 LONG:10,rupa:657 curt:588 sivad:0 BEEF:502 LONG:326
1194,raki,postmabone:12 sivad:6 LONG:11 raki:6 rupa:6 curt:13,postmabone:694 sivad:1115 LONG:837 raki:647 rupa:450 curt:1528
1195,Thomato,rupa:5 Thomato:5 curt:0 postmabone:1,rupa:870 Thomato:201 curt:670 postmabone:767
1196,BEEF,raki:0 curt:0,raki:111 curt:224
1197,postmabone,postmabone:2 BEEF:2 curt:1,postmabone:282 BEEF:595 curt:287
1198,postmabone,sivad:11 LONG:3 postmabone:14 rupa:9 raki:7 curt:6 Thomato:18,sivad:104 LONG:1505 postmabone:653 rupa:2670 raki:382 curt:1489 Thomato:1042
1199,LONG,LONG:9 raki:3 Thomato:3 postmabone:3,LONG:684 raki:90 Thomato:481 postmabone:546
1200,raki,raki:3 Thomato:4 BEEF:2 curt:7,raki:533 Thomato:7 BEEF:641 curt:543
1201,BEEF,sivad:3 LONG:5 rupa:3,sivad:492 LONG:272 rupa:362
1202,BEEF,rupa:2 BEEF:2,rupa:292 BEEF:402
1203,sivad,Thomato:6 BEEF:6 curt:0 raki:7,Thomato:333 BEEF:345 curt:213 raki:60
1204,LONG,raki:9 LONG:3 sivad:2 BEEF:3 rupa:8,raki:62 LONG:344 sivad:787 BEEF:945 rupa:548
1205,postmabone,Thomato:3 BEEF:6 curt:9 rupa:2,Thomato:339 BEEF:380 curt:446 rupa:429
1206,Thomato,Thomato:3 LONG:9 raki:3 sivad:21 rupa:11 postmabone:1 BEEF:8 curt:15,Thomato:1513 LONG:431 raki:1643 sivad:1525 rupa:1332 postmabone:1173 BEEF:725 curt:158
1207,raki,rupa:2 sivad:3 LONG:0,rupa:529 sivad:470 LONG:562
1208,BEEF,raki:0 Thomato:1,raki:61 Thomato:107
